concept_id,canonical,dimension,role_modes
3d_knowledge_domain,3d,knowledge_domain,creative
3d_work_object,3d,work_object,technical
abatement_task,abatement,task,
abrasive_industry,abrasive,industry,
absorbent_pad_work_object,absorbent pad,work_object,technical
academic,academic,industry,
academy,academy,venue,
accessibility,accessibility,task,
accommodation_task,accommodation,task,
account,account,task,
accounting,accounting,knowledge_domain,
acoustic,acoustic,industry,
acoustical,acoustical,industry,
acquisition_task,acquisition,task,
activism_work_object,activism,work_object,
activity_work_object,activity,work_object,
actuarial,actuarial,industry,
addiction_task,addiction,task,
additive_industry,additive,industry,
administration,administration,task,
administrative,administrative,task,
admissions,admissions,task,
adolescent,adolescent,population,
adolescents,adolescents,population,
adult,adult,population,
adults,adults,population,
advanced_industry,advanced,industry,
advanced_nurse_work_object,advanced nurse,work_object,
advertising,advertising,task,
advisory,advisory,task,
aerodynamics,aerodynamics,knowledge_domain,
aeronautical_industry,aeronautical,industry,
aerospace,aerospace,knowledge_domain,
affairs,affairs,task,
after_sales,after-sales,channel,
aftersale_task,aftersale,task,
agency_knowledge_domain,agency,knowledge_domain,knowledge
agricultural,agricultural,industry,
agriculture,agriculture,industry,
agronomic_industry,agronomic,industry,
aide_task,aide,task,
aided_work_object,aided,work_object,technical
air_knowledge_domain,air,knowledge_domain,education|knowledge
air_product,air,product,commercial
air_work_object,air,work_object,technical
air_force_work_object,air force,work_object,
aircraft_knowledge_domain,aircraft,knowledge_domain,knowledge
aircraft_product,aircraft,product,commercial
aircraft_work_object,aircraft,work_object,technical
aircraft_cargo_task,aircraft cargo,task,
aircraft_engine_knowledge_domain,aircraft engine,knowledge_domain,knowledge
aircraft_groomer_work_object,aircraft groomer,work_object,
aircraft_marshaller_work_object,aircraft marshaller,work_object,
airline_industry,airline,industry,
airport,airport,venue,
airside_task,airside,task,
airspace_work_object,airspace,work_object,
alarm_knowledge_domain,alarm,knowledge_domain,knowledge
alarm_work_object,alarm,work_object,technical
alcohol_task,alcohol,task,
alteration_task,alteration,task,
alternative_industry,alternative,industry,
ammunition_product,ammunition,product,commercial
ammunition_task,ammunition,task,
ammunition_work_object,ammunition,work_object,technical
amusement_task,amusement,task,
anaerobic_industry,anaerobic,industry,
anaesthetic,anaesthetic,industry,
analysis,analysis,task,
analytical_industry,analytical,industry,
anatomical,anatomical,industry,
animal,animal,population,
animals,animals,population,
animation_task,animation,task,
anodising_task,anodising,task,
anthropology_knowledge_domain,anthropology,knowledge_domain,
antique_work_object,antique,work_object,
antique_dealer_industry,antique dealer,industry,
antique_furniture_reproducer_work_object,antique furniture reproducer,work_object,
apparel_task,apparel,task,
apparel_manufacturer_industry,apparel manufacturer,industry,
apparel_presser_task,apparel presser,task,
appliance_industry,appliance,industry,
appliances_product,appliances,product,commercial
appliances_work_object,appliances,work_object,technical
application_product,application,product,commercial
application_task,application,task,
application_work_object,application,work_object,technical
applications_product,applications,product,commercial
applications_work_object,applications,work_object,technical
applied_knowledge_domain,applied,knowledge_domain,education|knowledge
aquaculture,aquaculture,industry,
aquatic_industry,aquatic,industry,
archaeology_knowledge_domain,archaeology,knowledge_domain,
architectural,architectural,industry,
architecture_knowledge_domain,architecture,knowledge_domain,education|knowledge
archive_industry,archive,industry,
archiving,archiving,task,
arena,arena,venue,
armed_force_task,armed force,task,
armoured_car_work_object,armoured car,work_object,
army_industry,army,industry,
army_captain_work_object,army captain,work_object,
army_major_work_object,army major,work_object,
art,art,knowledge_domain,
artificial,artificial,industry,
artillery_work_object,artillery,work_object,
artisan_papermaker_work_object,artisan papermaker,work_object,
artisanal_industry,artisanal,industry,
artistic_industry,artistic,industry,
arts,arts,knowledge_domain,
asbesto_task,asbesto,task,
asphalt_work_object,asphalt,work_object,technical
assembly,assembly,task,
asset_work_object,asset,work_object,
assisted_work_object,assisted,work_object,
assistive_industry,assistive,industry,
assurance_task,assurance,task,
astronaut_work_object,astronaut,work_object,
at_knowledge_domain,at,knowledge_domain,education|knowledge
athlete_industry,athlete,industry,
atm_product,atm,product,commercial
atm,atm,work_object,
atm_work_object,atm,work_object,technical
attraction_task,attraction,task,
au_pair_work_object,au pair,work_object,
auction_task,auction,task,
audio_knowledge_domain,audio,knowledge_domain,creative|knowledge
audio_knowledge_domain,audio,knowledge_domain,knowledge
audio_product,audio,product,commercial
audio_work_object,audio,work_object,technical
audio_describer_work_object,audio describer,work_object,
audio_visual_industry,audio-visual,industry,
audiology_knowledge_domain,audiology,knowledge_domain,
audit_work_object,audit,work_object,
auditing,auditing,task,
auger_work_object,auger,work_object,technical
automated_work_object,automated,work_object,technical
automated_cable_vehicle_work_object,automated cable vehicle,work_object,
automated_fly_work_object,automated fly,work_object,technical
automation_task,automation,task,
automotive,automotive,industry,
automotive,automotive,industry,technical
autonomou_knowledge_domain,autonomou,knowledge_domain,knowledge
auxiliary_industry,auxiliary,industry,
aviation,aviation,industry,
avionics_work_object,avionic,work_object,technical
back_knowledge_domain,back,knowledge_domain,knowledge
back_work_object,back,work_object,technical
bacteriology_knowledge_domain,bacteriology,knowledge_domain,
baggage_task,baggage,task,
bailiff_work_object,bailiff,work_object,
bakery_product,bakery,product,commercial
baking_task,baking,task,
band_saw_work_object,band saw,work_object,technical
bank,bank,industry,
banking,banking,industry,
bankruptcy_trustee_work_object,bankruptcy trustee,work_object,
bar,bar,venue,
barista_work_object,barista,work_object,
bathroom_work_object,bathroom,work_object,
battery_product,battery,product,commercial
battery_work_object,battery,work_object,technical
beauty,beauty,industry,
bed_work_object,bed,work_object,technical
bee_work_object,bee,work_object,
beer_work_object,beer,work_object,
behavioural_industry,behavioural,industry,
belt_work_object,belt,work_object,
belt_mould_work_object,belt mould,work_object,technical
benefit_advice_work_object,benefit advice,work_object,
bereavement_task,bereavement,task,
bespoke_footwear_work_object,bespoke footwear,work_object,technical
betting_task,betting,task,
beverage_knowledge_domain,beverage,knowledge_domain,knowledge
beverage_product,beverage,product,commercial
beverage_work_object,beverage,work_object,technical
beverages_product,beverages,product,commercial
bicycle_work_object,bicycle,work_object,technical
bicycle_courier_work_object,bicycle courier,work_object,
bid_work_object,bid,work_object,
big_data_industry,big data,industry,
billing_task,billing,task,
bindery_work_object,bindery,work_object,technical
bingo_caller_work_object,bingo caller,work_object,
biochemical_industry,biochemical,industry,
biochemistry_work_object,biochemistry,work_object,technical
bioga_work_object,bioga,work_object,technical
bioinformatics_work_object,bioinformatic,work_object,
biology,biology,knowledge_domain,
biomedical,biomedical,industry,
biotechnical_industry,biotechnical,industry,
blacksmith_work_object,blacksmith,work_object,
blanching_task,blanching,task,
blasting,blasting,task,
bleacher_work_object,bleacher,work_object,technical
blender_work_object,blender,work_object,technical
blending_task,blending,task,
block_work_object,block,work_object,technical
blockchain_work_object,blockchain,work_object,technical
blow_work_object,blow,work_object,technical
board_work_object,board,work_object,technical
boat_work_object,boat,work_object,
boatswain_work_object,boatswain,work_object,
body_knowledge_domain,body,knowledge_domain,creative
body_work_object,body,work_object,technical
bodyguard_work_object,bodyguard,work_object,
boiler_work_object,boiler,work_object,technical
bomb_work_object,bomb,work_object,technical
book_knowledge_domain,book,knowledge_domain,creative|knowledge
book_work_object,book,work_object,technical
book_publisher_work_object,book publisher,work_object,
book_sewing_task,book-sewing,task,
bookshop_product,bookshop,product,commercial
boom_work_object,boom,work_object,technical
boring_task,boring,task,
botanical_industry,botanical,industry,
bottling_task,bottling,task,
boxing_task,boxing,task,
braiding_task,braiding,task,
brake_work_object,brake,work_object,technical
branch_work_object,branch,work_object,
brand_work_object,brand,work_object,
branding_task,branding,task,
breakfast_work_object,breakfast,work_object,technical
breeding,breeding,task,
brew_work_object,brew,work_object,technical
brick_work_object,brick,work_object,
bricklaying_task,bricklaying,task,
bridge_work_object,bridge,work_object,technical
briquetting_task,briquetting,task,
broadcast,broadcast,channel,
broadcasting_task,broadcasting,task,
brokerage_firm_knowledge_domain,brokerage firm,knowledge_domain,creative
brush_work_object,brush,work_object,
budget_knowledge_domain,budget,knowledge_domain,knowledge
building,building,task,
bulk_work_object,bulk,work_object,
bulldozer_work_object,bulldozer,work_object,technical
burning_task,burning,task,
bus_knowledge_domain,bus,knowledge_domain,education
bus_route_work_object,bus route,work_object,
business,business,knowledge_domain,
business_studies,business studies,knowledge_domain,
cabin_crew_knowledge_domain,cabin crew,knowledge_domain,education
cabinet_work_object,cabinet,work_object,
cable_product,cable,product,commercial
cable_work_object,cable,work_object,technical
cable_jointer_work_object,cable jointer,work_object,
cacao_bean_work_object,cacao bean,work_object,
cacao_bean_cleaner_work_object,cacao bean cleaner,work_object,
cad,cad,knowledge_domain,
cadastral_industry,cadastral,industry,
cage_work_object,cage,work_object,technical
cake_work_object,cake,work_object,technical
calculation_task,calculation,task,
calibration_task,calibration,task,
call,call,channel,
call_centre,call centre,channel,
camera_work_object,camera,work_object,technical
camp,camp,venue,
campaign_industry,campaign,industry,
campaign_canvasser_work_object,campaign canvasser,work_object,
camping_task,camping,task,
campus,campus,venue,
candle_work_object,candle,work_object,
candy_work_object,candy,work_object,technical
canning,canning,task,
canva_good_work_object,canva good,work_object,technical
capacity_knowledge_domain,capacity,knowledge_domain,knowledge
capsule_work_object,capsule,work_object,technical
car_knowledge_domain,car,knowledge_domain,education
car_product,car,product,commercial
carbonation_task,carbonation,task,
care,care,task,
career_guidance_work_object,career guidance,work_object,
cargo_work_object,cargo,work_object,technical
cargo_vehicle_work_object,cargo vehicle,work_object,
carpenter_work_object,carpenter,work_object,
carpet_product,carpet,product,commercial
carpet_cleaner_work_object,carpet cleaner,work_object,
carpet_handicraft_work_object,carpet handicraft,work_object,
carpet_weaver_work_object,carpet weaver,work_object,
carriage_work_object,carriage,work_object,
case_work_object,case,work_object,technical
casino_task,casino,task,
casino_pit_boss_work_object,casino pit boss,work_object,
casting_task,casting,task,
category_industry,category,industry,
cattle_work_object,cattle,work_object,
cattle_pedicure_work_object,cattle pedicure,work_object,
ceiling_task,ceiling,task,
cell_industry,cell,industry,
cellar,cellar,venue,
cemetery_work_object,cemetery,work_object,
center,center,venue,
central_industry,central,industry,
central_bank,central bank,industry,
centre_channel,centre,channel,
centre,centre,venue,
centrifuge_work_object,centrifuge,work_object,technical
ceramic_industry,ceramic,industry,
chain_work_object,chain,work_object,technical
chairside_industry,chairside,industry,
change_knowledge_domain,change,knowledge_domain,knowledge
change_work_object,change,work_object,technical
channel_channel,channel,channel,
